Molecule,SMILES,Formula,TanimotoA,TanimotoS,MW,HeavyAtoms,AromaticHA,FractionCsp3,RotatableBonds,HBA,HBD,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,SilicosITLogP,ConsensusLogP,ESOLLogS,ESOLSolubilitymgml,ESOLSolubilitymoll,AliLogS,AliSolubilitymgml,AliSolubilitymoll,SilicosITLogSw,SilicosITSolubilitymgml,SilicosITSolubilitymoll,logKpcms,LipinskiViolations,GhoseViolations,VeberViolations,EganViolations,MueggeViolations,BioavailabilityScore,PAINSalerts,BrenkAlerts,LeadlikenessViolations,SyntheticAccessibility,TanimotoA3D,TanimotoS3D,
5445,C=CS(=O)(=O)NC1CCOc2c1cccc2,C11H13NO3S,0.292773317,0.286857143,239.29,16,6,0.27,3,4,1,61.5,63.78,1.49,1.45,2.33,0.55,1.1,1.38,-2.32,1.15E+00,4.82E-03,-2.4,9.63E-01,4.02E-03,-3.17,1.63E-01,6.81E-04,-6.73,0,0,0,0,0,0.55,0,0,1,2.9,0.789575942,0.763859998,
5446,C=CS(=O)(=O)NCCN1CCCS1(=O)=O,C7H14N2O4S2,0.143778208,0.140412979,254.33,15,0,0.71,5,6,1,60.72,100.31,0.47,-0.76,0.87,-1.71,-1.02,-0.43,-0.61,6.27E+01,2.47E-01,-0.87,3.44E+01,1.35E-01,-1.21,1.57E+01,6.18E-02,-8.39,0,0,0,0,0,0.55,0,0,0,3,0.800502934,0.75029781,
5447,COC(=O)Cc1ccc(cc1)NS(=O)(=O)C=C,C11H13NO4S,0.165374677,0.15606596,255.29,17,6,0.18,6,4,1,64.91,80.85,1.69,1.17,2.18,0.85,1,1.38,-2.03,2.41E+00,9.44E-03,-2.46,8.79E-01,3.44E-03,-3.31,1.26E-01,4.94E-04,-7.03,0,0,0,0,0,0.55,0,0,0,2.11,0.83305456,0.737488708,
5448,C#CC(=O)NCc1ccc(c(c1)OC)OC,C12H13NO3,0.166235446,0.163701068,219.24,16,6,0.25,5,3,1,59.98,47.56,2.42,1.09,0.88,1.17,2.01,1.51,-1.83,3.22E+00,1.47E-02,-1.68,4.57E+00,2.08E-02,-3.15,1.56E-01,7.11E-04,-6.86,0,0,0,0,0,0.55,0,1,1,1.69,0.771658947,0.715992474,
5449,C#CC(=O)NCC(=O)N1CCOCC1,C9H12N2O3,0.117374005,0.120291616,196.2,14,0,0.56,4,3,1,52.52,58.64,1.75,-0.26,-1.71,-0.88,0.24,-0.17,-0.63,4.61E+01,2.35E-01,-0.51,6.02E+01,3.07E-01,-0.51,6.11E+01,3.11E-01,-7.68,0,1,0,0,1,0.55,0,1,1,2.24,0.822409968,0.821143319,
5450,C#CC(=O)NCc1nc(C)cc(n1)C,C10H11N3O,0.144554455,0.133532934,189.21,14,6,0.3,3,3,1,52.51,54.88,2.24,0.63,0.27,0.08,1.82,1.01,-1.53,5.59E+00,2.96E-02,-1.36,8.31E+00,4.39E-02,-2.92,2.29E-01,1.21E-03,-7.01,0,0,0,0,1,0.55,0,1,1,2.02,0.872758396,0.823887546,
5451,CN(S(=O)(=O)C)c1ncccc1CNC(=O)C#C,C11H13N3O3S,0.335770871,0.323761261,267.3,18,6,0.27,5,4,1,67.96,87.75,1.75,-0.07,0.74,-0.76,-0.06,0.32,-1.37,1.14E+01,4.27E-02,-1.32,1.28E+01,4.77E-02,-2.55,7.52E-01,2.81E-03,-7.98,0,0,0,0,0,0.55,0,1,0,2.44,0.801527331,0.768078289,
5452,C#CC(=O)Nc1ccc(cc1)n1ccccc1=O,C14H10N2O2,0.212820513,0.230353929,238.24,18,12,0,3,2,1,69.32,51.1,2.23,1.6,1.3,1.81,1.82,1.75,-2.62,5.71E-01,2.40E-03,-2.28,1.24E+00,5.19E-03,-3.71,4.60E-02,1.93E-04,-6.62,0,0,0,0,0,0.55,0,1,1,1.94,0.844607959,0.761261661,
5453,C#CC(=O)Nc1ccc(c(c1)C)N1CCOCC1=O,C14H14N2O3,0.25909381,0.243873979,258.27,19,6,0.29,3,3,1,74.62,58.64,2.24,0.96,0.44,0.81,1.85,1.26,-2.08,2.14E+00,8.28E-03,-1.78,4.30E+00,1.66E-02,-2.95,2.92E-01,1.13E-03,-7.19,0,0,0,0,0,0.55,0,1,0,2.13,0.820382972,0.762367645,
5454,CCOC(=O)c1ccc(cc1)NC(=O)C#C,C12H11NO3,0.164820847,0.166566806,217.22,16,6,0.17,5,3,1,59.81,55.4,2.39,1.61,1.32,1.9,1.88,1.82,-2.15,1.54E+00,7.10E-03,-2.39,8.95E-01,4.12E-03,-2.97,2.33E-01,1.07E-03,-6.48,0,0,0,0,0,0.55,0,1,1,1.67,0.874527112,0.798302237,
